Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,TODAY,"TODAY
CHNG","SERIES
CHNG",,28 Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,SERIES,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
,BFSI,BANDHANBNK,169,NSE:BANDHANBNK,176,-0.1,4.1,,-17.2,2.7,2.4,,2.7,3.2,#N/A,3.9,4.3,,,,,,,,,,,,,#N/A,,BANDHANBNK,,
,BFSI,ABCAPITAL,391,NSE:ABCAPITAL,410,0.0,4.7,,-0.3,1.7,0.7,,7.4,6.6,#N/A,7.9,4.3,,,,,,,,,,,,,#N/A,,ABCAPITAL,,
,,GVT&D,4111,NSE:GVT&D,4201,-2.3,2.2,,-17.3,-0.1,2.5,,5.1,6.3,6.5,6.7,4.2,,,,,,,,,,,,,,,GVT&D,,
,IT,KPITTECH,605,NSE:KPITTECH,637,1.2,5.3,,-9.8,5.5,-2.3,,2.4,3.4,#N/A,2.5,4.2,,,,,,,,,,,,,#N/A,,KPITTECH,,
,METAL,JSWSTEEL,1250,NSE:JSWSTEEL,1300,0.0,4.0,,1.6,1.9,1.5,,2.4,3.3,6.4,4.5,3.9,,,,,,,,,,,,,,,JSWSTEEL,,
2,BFSI,BAJAJFINSV,1929,NSE:BAJAJFINSV,2009,0.2,4.1,,9.0,-0.1,-1.0,,8.0,7.9,7.8,8.1,3.9,,,,,,,,,,,,,,,BAJAJFINSV,,
2,FMCG,HINDUNILVR,2020,NSE:HINDUNILVR,2083,-0.6,3.1,,-4.9,5.0,4.3,,4.9,3.0,3.2,3.3,3.8,,,,,,,,,,,,,,,HINDUNILVR,,
,BFSI,360ONE,1126,NSE:360ONE,1180,1.2,4.8,,5.4,3.2,1.1,,1.3,2.8,5.7,5.3,3.7,,,,,,,,,,,,,,,360ONE,,
,FMCG,SWIGGY,270,NSE:SWIGGY,284,1.0,5.0,,12.5,6.1,8.8,,6.6,7.6,6.3,6.3,3.7,,,,,,,,,,,,,,,SWIGGY,,
,FMCG,PATANJALI,342,NSE:PATANJALI,354,-1.0,3.5,,-16.4,4.4,3.6,,5.5,4.6,3.8,3.8,3.7,,,,,,,,,,,,,,,PATANJALI,,
,POWER,JSWENERGY,545,NSE:JSWENERGY,571,1.1,4.6,,-6.3,0.1,-0.4,,3.6,4.0,3.7,3.3,3.6,,,,,,,,,,,,,,,JSWENERGY,,
,SOLAR POWER,PREMIERENE,1014,NSE:PREMIERENE,1043,-0.4,2.8,,-3.6,1.8,-3.0,,1.4,2.5,2.1,2.7,3.4,,,,,,,,,,,,,,,PREMIERENE,,
2,DEFENCE,BEL,389,NSE:BEL,401,-0.1,3.0,,-5.7,-0.4,-1.1,,-0.1,0.2,0.1,2.6,3.3,,,,,,,,,,,,,,,BEL,,
,,RADICO,4345,NSE:RADICO,4545,0.9,4.6,,10.4,0.7,0.4,,1.9,2.4,4.5,2.7,3.2,,,,,,,,,,,,,,,RADICO,,
2,IT,WIPRO,181,NSE:WIPRO,187,-0.5,3.2,,6.3,1.2,3.0,,4.2,3.6,3.3,2.7,3.1,,,,,,,,,,,,,,,WIPRO,,
1,PHARMA,DRREDDY,1134,NSE:DRREDDY,1168,-0.4,3.0,,-16.7,0.8,0.9,,3.1,2.4,3.9,3.4,3.1,,,,,,,,,,,,,,,DRREDDY,,
1,BFSI,BAJFINANCE,1050,NSE:BAJFINANCE,1082,0.3,3.0,,4.3,0.0,0.8,,8.8,9.0,9.8,9.7,3.0,,,,,,,,,,,,,,,BAJFINANCE,,
,GOODS,AMBER,7220,NSE:AMBER,7189,-3.1,-0.4,,-4.3,2.8,2.2,,2.8,2.4,4.2,3.0,3.0,,,,,,,,,,,,,,,AMBER,,
1,BFSI,INDUSINDBK,991,NSE:INDUSINDBK,1020,-0.2,2.9,,7.5,2.0,2.0,,2.7,2.8,2.7,2.0,2.9,,,,,,,,,,,,,,,INDUSINDBK,,
,IT,MPHASIS,2416,NSE:MPHASIS,2512,1.5,4.0,,11.4,-2.8,-2.8,,-0.1,-1.4,0.6,-0.5,2.9,,,,,,,,,,,,,,,MPHASIS,,
2,POWER,TATAPOWER,371,NSE:TATAPOWER,379,-0.5,2.2,,-4.1,1.6,1.3,,2.8,2.7,2.7,2.1,2.9,,,,,,,,,,,,,,,TATAPOWER,,
3,FMCG,VBL,430,NSE:VBL,445,0.6,3.5,,-15.8,4.1,5.0,,3.5,2.4,#N/A,3.2,2.9,,,,,,,,,,,,,#N/A,,VBL,,
3,FMCG,NESTLEIND,1492,NSE:NESTLEIND,1531,-0.6,2.6,,5.6,0.9,1.8,,1.4,-0.1,1.9,1.9,2.9,,,,,,,,,,,,,,,NESTLEIND,,
