Liq,SECTOR,"10-08-26
 09:07:51",JAN,SCRIP,TODAY,"TODAY
CHNG",CHART,CHNG,2Jan,27Jan,24 Feb,30Mar,28 Apr,26 May,30 June,28Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25
2,GOODS,DIXON,12120,NSE:DIXON,14160,-0.3,,16.8,0.4,-18.4,-12.7,-20.5,-6.3,-3.6,-1.7,14.9,17.4,18.2,,14.6,14.8,18.5,17.2,16.8,,,,,,,,,,,,
,GOODS,DELHIVERY,404,NSE:DELHIVERY,472,1.9,,16.8,0.0,-1.3,8.5,1.9,15.4,14.9,16.3,16.7,16.0,16.0,,17.3,16.9,16.2,14.7,16.8,,,,,,,,,,,,
,GOODS,AMBER,6376,NSE:AMBER,7436,0.1,,16.6,1.7,-15.3,25.2,2.5,29.1,15.1,18.3,13.2,16.4,15.7,,16.4,16.0,18.0,16.6,16.6,,,,,,,,,,,,
5,POWER,JSWENERGY,485,NSE:JSWENERGY,565,0.6,,16.6,5.0,-9.6,1.2,-2.6,19.7,19.3,20.0,12.5,12.6,12.1,,16.6,17.0,16.7,16.2,16.6,,,,,,,,,,,,
2,FMCG,MARICO,752,NSE:MARICO,860,0.0,,14.4,0.8,-0.7,7.6,-2.7,3.4,9.9,11.4,17.7,16.8,17.9,,16.3,15.4,13.7,14.6,14.4,,,,,,,,,,,,
2,GENERAL,ADANIPORTS,1478,NSE:ADANIPORTS,1686,-0.6,,14.1,0.8,-8.2,5.7,-11.2,10.9,22.5,22.5,20.4,16.5,12.4,,14.8,14.6,14.5,14.8,14.1,,,,,,,,,,,,
5,BFSI,ABCAPITAL,358,NSE:ABCAPITAL,408,-3.2,,13.9,0.8,-2.4,-2.1,-17.5,-5.4,1.5,9.6,9.2,11.0,9.9,,17.3,16.4,17.4,17.8,13.9,,,,,,,,,,,,
,REALTY,LODHA,1068,NSE:LODHA,1208,-0.5,,13.1,1.7,-17.2,-2.2,-36.4,-17.5,-15.4,-10.4,22.7,22.0,20.6,,15.5,16.0,16.7,14.6,13.1,,,,,,,,,,,,
2,FMCG,ETERNAL,280,NSE:ETERNAL,316,-0.2,,12.9,1.6,-9.7,-9.0,-18.0,-7.6,-10.2,-5.2,10.0,11.5,10.9,,10.4,11.1,11.2,13.2,12.9,,,,,,,,,,,,
2,PHARMA,SUNPHARMA,1728,NSE:SUNPHARMA,1946,-0.3,,12.6,0.1,-5.4,0.6,2.0,1.2,6.6,8.1,14.4,15.0,16.0,,12.6,13.3,12.5,12.7,12.6,,,,,,,,,,,,
